                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98549,                0.68969,                0.96028,                0.92243,                0.86931,                0.89535,                0.73438,                0.96667,                0.60255,                 0.9688,             0.00047367,             0.00047367,             0.00047367
                     36,                0.93938,                0.65823,                0.95115,                 0.8974,                  0.868,                0.89392,                0.73645,                0.94536,                 0.6013,                0.96465,              0.0004666,              0.0004666,              0.0004666
                     37,                0.95245,                0.69782,                0.95175,                0.92418,                0.85702,                0.90449,                0.74092,                 0.9344,                0.60058,                0.95959,             0.00045953,             0.00045953,             0.00045953
                     38,                0.98019,                0.66305,                0.96727,                0.92418,                0.85702,                0.90449,                0.74092,                 0.9344,                0.60058,                0.95959,             0.00045246,             0.00045246,             0.00045246
                     39,                 0.9697,                0.67991,                0.95423,                0.87879,                0.89014,                0.89706,                 0.7294,                 0.9321,                 0.5906,                0.95776,             0.00044539,             0.00044539,             0.00044539
                     40,                0.96028,                0.63769,                0.96527,                 0.9051,                0.89243,                0.89933,                 0.7382,                0.94058,                0.57242,                 0.9597,             0.00043832,             0.00043832,             0.00043832
                     41,                0.97296,                0.64282,                0.97663,                0.90858,                0.88917,                0.90256,                 0.7416,                0.93909,                0.56231,                0.95869,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.9386,                0.66066,                0.94499,                0.91975,                0.89592,                0.90607,                0.75169,                0.92306,                0.55645,                0.95386,             0.00042419,             0.00042419,             0.00042419
                     43,                0.93565,                0.61848,                0.95113,                0.93223,                0.90062,                0.91226,                 0.7545,                0.91268,                0.55401,                0.94759,             0.00041712,             0.00041712,             0.00041712
                     44,                0.94129,                0.61073,                0.94618,                0.92256,                0.89361,                0.91172,                0.75727,                0.90611,                0.55231,                0.94658,             0.00041005,             0.00041005,             0.00041005
                     45,                0.96653,                 0.6514,                0.97592,                0.92774,                0.88969,                  0.909,                 0.7532,                0.89731,                0.54346,                0.94612,             0.00040298,             0.00040298,             0.00040298
                     46,                0.95298,                0.61732,                0.96467,                0.92774,                0.88969,                  0.909,                 0.7532,                0.89731,                0.54346,                0.94612,             0.00039591,             0.00039591,             0.00039591
                     47,                0.92432,                0.63409,                 0.9652,                 0.9355,                0.88996,                0.91254,                0.76386,                0.88598,                0.53167,                 0.9432,             0.00038884,             0.00038884,             0.00038884
                     48,                0.92481,                 0.6132,                0.95553,                0.92742,                0.88957,                0.91264,                 0.7653,                0.89309,                0.54292,                0.94443,             0.00038178,             0.00038178,             0.00038178
                     49,                0.88088,                0.61611,                 0.9295,                0.89547,                0.89831,                0.91486,                0.76536,                0.89539,                0.54987,                0.94236,             0.00037471,             0.00037471,             0.00037471
                     50,                0.94838,                 0.6108,                 0.9557,                0.88189,                0.90987,                0.92452,                0.76751,                0.88047,                0.54119,                0.93901,             0.00036764,             0.00036764,             0.00036764
                     51,                0.95485,                0.61359,                0.95208,                0.87399,                0.90425,                 0.9243,                0.76781,                0.87401,                0.53945,                0.93525,             0.00036057,             0.00036057,             0.00036057
                     52,                0.93364,                0.59232,                0.96357,                0.90922,                0.89827,                0.92179,                0.76737,                0.87213,                0.53213,                0.93441,              0.0003535,              0.0003535,              0.0003535
                     53,                0.90581,                0.60135,                0.95753,                0.91413,                0.89975,                0.92089,                0.77229,                0.86768,                0.52061,                0.93339,             0.00034643,             0.00034643,             0.00034643
                     54,                 0.9105,                0.59214,                0.96168,                0.91413,                0.89975,                0.92089,                0.77229,                0.86768,                0.52061,                0.93339,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.8992,                0.60274,                0.96123,                0.91605,                0.90228,                0.92207,                0.76968,                0.86464,                0.51735,                0.93215,              0.0003323,              0.0003323,              0.0003323
                     56,                0.87906,                0.55846,                0.94514,                0.92941,                0.90004,                0.92207,                0.77461,                0.86381,                0.51193,                0.93101,             0.00032523,             0.00032523,             0.00032523
                     57,                0.88208,                0.58721,                0.94625,                0.91729,                0.91041,                0.92395,                0.77786,                0.85452,                0.51134,                0.92864,             0.00031816,             0.00031816,             0.00031816
                     58,                0.90102,                0.57978,                0.94012,                 0.9191,                0.90912,                 0.9235,                0.77889,                0.85639,                0.50877,                0.92869,             0.00031109,             0.00031109,             0.00031109
                     59,                0.92276,                0.58774,                0.95664,                0.92671,                0.90182,                0.92363,                0.77289,                0.85833,                0.50724,                0.92949,             0.00030402,             0.00030402,             0.00030402
                     60,                0.92208,                0.60675,                0.98126,                0.91465,                0.90808,                0.92746,                0.77906,                0.85003,                0.50615,                0.92746,             0.00029695,             0.00029695,             0.00029695
                     61,                0.87086,                0.58507,                0.93835,                0.91069,                0.90178,                0.92744,                0.77906,                0.84685,                 0.5097,                0.92617,             0.00028988,             0.00028988,             0.00028988
                     62,                0.91358,                0.57212,                0.94523,                0.91069,                0.90178,                0.92744,                0.77906,                0.84685,                 0.5097,                0.92617,             0.00028282,             0.00028282,             0.00028282
                     63,                0.90052,                0.55576,                0.92694,                0.90309,                0.90343,                0.92583,                0.77683,                0.84104,                0.50935,                0.92523,             0.00027575,             0.00027575,             0.00027575
                     64,                0.88127,                0.56991,                0.94845,                0.94109,                0.89348,                0.93053,                0.78239,                0.83781,                0.49123,                0.92365,             0.00026868,             0.00026868,             0.00026868
                     65,                0.89164,                 0.5572,                0.94103,                0.92927,                0.90383,                0.93188,                0.78839,                0.84349,                0.49058,                0.92449,             0.00026161,             0.00026161,             0.00026161
                     66,                0.87949,                0.56397,                0.92192,                0.93522,                 0.9112,                0.93247,                0.78605,                0.84371,                0.49197,                0.92237,             0.00025454,             0.00025454,             0.00025454
                     67,                0.88863,                 0.5618,                0.94137,                0.94115,                0.90827,                0.93259,                0.78949,                0.83203,                0.48563,                0.91963,             0.00024747,             0.00024747,             0.00024747
                     68,                0.85397,                0.53272,                0.93018,                0.95209,                0.90025,                0.93388,                0.78859,                0.82423,                 0.4817,                0.91674,              0.0002404,              0.0002404,              0.0002404
                     69,                0.84315,                 0.5314,                0.91264,                0.89981,                0.91866,                0.93318,                0.78869,                0.81985,                0.47949,                0.91625,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.8336,                0.52473,                0.93266,                0.89981,                0.91866,                0.93318,                0.78869,                0.81985,                0.47949,                0.91625,             0.00022627,             0.00022627,             0.00022627
                     71,                0.86555,                0.54456,                0.94304,                0.90602,                0.91517,                0.93493,                0.78939,                0.81584,                0.47827,                0.91608,              0.0002192,              0.0002192,              0.0002192
                     72,                0.88475,                0.56808,                0.94965,                0.92189,                0.91177,                0.93526,                  0.796,                0.82153,                0.47797,                0.91746,             0.00021213,             0.00021213,             0.00021213
                     73,                0.86702,                0.54098,                 0.9212,                0.93809,                0.90955,                0.93545,                0.79242,                0.81633,                0.47479,                0.91539,             0.00020506,             0.00020506,             0.00020506
                     74,                0.85988,                0.53477,                0.93419,                0.93918,                0.91641,                0.93646,                0.79167,                0.80923,                0.46781,                0.91351,             0.00019799,             0.00019799,             0.00019799
                     75,                0.86125,                0.53755,                0.94333,                0.95499,                 0.9149,                0.93809,                0.79069,                0.80747,                0.46317,                0.91153,             0.00019092,             0.00019092,             0.00019092
                     76,                0.86184,                0.54473,                 0.9563,                0.94497,                0.91897,                0.93385,                0.79208,                0.80339,                0.45697,                0.90909,             0.00018385,             0.00018385,             0.00018385
                     77,                0.86048,                0.52449,                0.93132,                0.93266,                0.93044,                0.93925,                0.79828,                0.79681,                0.45339,                0.90705,             0.00017679,             0.00017679,             0.00017679
                     78,                0.85464,                0.52447,                0.92722,                0.93266,                0.93044,                0.93925,                0.79828,                0.79681,                0.45339,                0.90705,             0.00016972,             0.00016972,             0.00016972
                     79,                0.85111,                0.53295,                0.91733,                0.93321,                0.93321,                0.93872,                 0.7964,                0.79638,                0.45572,                0.90688,             0.00016265,             0.00016265,             0.00016265
                     80,                0.84605,                0.52143,                0.92877,                 0.9393,                0.93093,                0.93687,                0.79572,                0.79914,                0.45839,                0.90725,             0.00015558,             0.00015558,             0.00015558
                     81,                0.81248,                0.51004,                0.90764,                0.93212,                 0.9254,                0.93559,                0.79921,                0.80166,                0.46143,                0.90794,             0.00014851,             0.00014851,             0.00014851
                     82,                0.84351,                0.52921,                0.91802,                0.93717,                0.92853,                0.93559,                0.79671,                0.79798,                0.45955,                0.90669,             0.00014144,             0.00014144,             0.00014144
                     83,                0.84654,                0.52399,                 0.9298,                0.94573,                0.92412,                0.93525,                0.79414,                0.78779,                0.45585,                 0.9036,             0.00013437,             0.00013437,             0.00013437
                     84,                0.83731,                0.52513,                0.90944,                0.94604,                0.92267,                0.93309,                 0.7958,                0.78457,                0.45379,                0.90122,             0.00012731,             0.00012731,             0.00012731
                     85,                0.86024,                0.52501,                0.93135,                0.94951,                0.92025,                0.93317,                0.79868,                0.78034,                0.45147,                0.89976,             0.00012024,             0.00012024,             0.00012024
                     86,                0.83129,                0.51638,                0.93318,                0.94951,                0.92025,                0.93317,                0.79868,                0.78034,                0.45147,                0.89976,             0.00011317,             0.00011317,             0.00011317
                     87,                0.82238,                 0.5322,                0.90819,                0.94901,                0.92168,                0.93268,                0.79859,                0.77257,                0.44815,                0.89867,              0.0001061,              0.0001061,              0.0001061
                     88,                 0.8922,                0.52343,                0.95183,                 0.9509,                0.92128,                0.93349,                0.79932,                0.77309,                 0.4465,                0.89938,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.81633,                0.50425,                0.92005,                0.94916,                0.91494,                0.93373,                0.80002,                0.77617,                 0.4469,                0.89977,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.86934,                0.54206,                0.93949,                0.94292,                0.92242,                0.93385,                0.80493,                 0.7757,                0.44585,                0.89939,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.89024,                0.55886,                0.95826,                0.94133,                0.92398,                0.93428,                0.80425,                0.77514,                0.44466,                0.89841,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.8698,                0.53479,                0.94353,                0.93042,                 0.9252,                0.93521,                0.80187,                 0.7775,                0.44913,                0.89824,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.85422,                0.55779,                0.94644,                0.93688,                 0.9158,                0.93381,                0.80649,                0.78133,                0.45447,                0.89859,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.81142,                 0.5171,                0.91461,                0.93688,                 0.9158,                0.93381,                0.80649,                0.78133,                0.45447,                0.89859,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.85654,                0.51091,                0.91796,                0.93637,                0.91338,                0.93238,                0.80745,                0.78271,                0.45756,                0.89865,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.83499,                0.51462,                0.91947,                0.93917,                 0.9155,                0.93294,                0.80248,                0.78425,                0.45601,                0.89903,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.84916,                0.51721,                0.91562,                0.93962,                0.91008,                0.92927,                0.80114,                0.78304,                0.45612,                0.89901,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.83214,                0.52122,                0.92352,                0.94912,                0.90853,                0.93206,                0.80672,                0.77763,                0.45062,                0.89775,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.82225,                0.51114,                0.92583,                0.94975,                0.90842,                0.92912,                0.80292,                0.77656,                0.45061,                  0.898,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.83626,                0.48901,                0.92308,                0.93894,                0.91712,                 0.9299,                0.80444,                0.77188,                0.44808,                0.89698,             1.4209e-05,             1.4209e-05,             1.4209e-05
