                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8197,                0.63555,                0.91725,                0.72398,                0.79993,                0.83545,                0.68557,                0.77716,                0.58823,                0.89716,             0.00055144,             0.00055144,             0.00055144
                     37,                0.83472,                0.65951,                0.90946,                0.75508,                0.81676,                0.83857,                0.68184,                0.79093,                0.57732,                0.89883,             0.00054814,             0.00054814,             0.00054814
                     38,                0.78508,                0.61479,                0.89658,                 0.8412,                0.80671,                0.83767,                0.69299,                  0.807,                0.56496,                0.90075,             0.00054484,             0.00054484,             0.00054484
                     39,                0.83652,                0.64789,                 0.9418,                0.84056,                0.75033,                0.82535,                0.68125,                0.79535,                0.58541,                0.90023,             0.00054154,             0.00054154,             0.00054154
                     40,                0.80748,                0.61588,                0.88989,                0.88468,                0.78161,                0.84451,                0.69989,                0.77874,                0.55362,                 0.8957,             0.00053824,             0.00053824,             0.00053824
                     41,                0.83923,                0.63528,                0.91619,                0.88468,                0.78161,                0.84451,                0.69989,                0.77874,                0.55362,                 0.8957,             0.00053493,             0.00053493,             0.00053493
                     42,                 0.7987,                0.59445,                0.89828,                0.83606,                0.84707,                0.86427,                0.72011,                 0.7695,                0.53367,                0.89295,             0.00053163,             0.00053163,             0.00053163
                     43,                0.82463,                0.60741,                0.90684,                0.84201,                0.85763,                0.86536,                0.71537,                0.77894,                0.53322,                0.89598,             0.00052833,             0.00052833,             0.00052833
                     44,                 0.8399,                0.63759,                0.93437,                0.82001,                0.86787,                0.87105,                0.72561,                0.76914,                0.53112,                0.89508,             0.00052503,             0.00052503,             0.00052503
                     45,                0.84321,                0.62849,                0.93133,                0.90862,                0.84785,                0.88629,                0.72924,                0.77362,                0.52118,                 0.8936,             0.00052173,             0.00052173,             0.00052173
                     46,                0.81646,                 0.5751,                0.90933,                0.85523,                 0.8606,                0.88834,                 0.7307,                0.77628,                0.52253,                0.89416,             0.00051843,             0.00051843,             0.00051843
                     47,                 0.8034,                0.60821,                0.91437,                0.85523,                 0.8606,                0.88834,                 0.7307,                0.77628,                0.52253,                0.89416,             0.00051512,             0.00051512,             0.00051512
                     48,                0.82464,                0.59053,                0.90684,                0.81259,                0.86611,                0.88054,                0.72726,                0.78159,                 0.5263,                0.89607,             0.00051182,             0.00051182,             0.00051182
                     49,                0.80738,                0.58894,                0.92106,                0.85588,                0.86739,                0.89027,                0.73861,                0.78384,                0.52334,                0.89819,             0.00050852,             0.00050852,             0.00050852
                     50,                0.80871,                0.58049,                0.90946,                0.86654,                0.86637,                0.89237,                0.74401,                0.75586,                0.51675,                0.89354,             0.00050522,             0.00050522,             0.00050522
                     51,                0.80828,                0.58559,                0.90329,                0.88639,                0.86214,                 0.8865,                0.74308,                0.75084,                0.50718,                0.89059,             0.00050192,             0.00050192,             0.00050192
                     52,                0.80738,                0.58484,                0.92366,                0.88639,                0.86214,                 0.8865,                0.74308,                0.75084,                0.50718,                0.89059,             0.00049862,             0.00049862,             0.00049862
                     53,                0.78352,                0.54998,                0.89531,                 0.8672,                0.87476,                0.88525,                0.73493,                0.76896,                0.50293,                0.89021,             0.00049531,             0.00049531,             0.00049531
                     54,                 0.8207,                0.56853,                0.90025,                0.85992,                0.88191,                0.89432,                0.73807,                0.78964,                0.50563,                0.89304,             0.00049201,             0.00049201,             0.00049201
                     55,                0.82232,                0.57626,                0.91813,                0.85038,                0.87909,                 0.9029,                0.74812,                 0.7786,                0.51313,                0.89163,             0.00048871,             0.00048871,             0.00048871
                     56,                0.81857,                0.60456,                0.92617,                0.83501,                0.89321,                0.90122,                0.74642,                0.76924,                0.51868,                0.88912,             0.00048541,             0.00048541,             0.00048541
                     57,                0.80923,                0.56878,                0.90862,                0.83501,                0.89321,                0.90122,                0.74642,                0.76924,                0.51868,                0.88912,             0.00048211,             0.00048211,             0.00048211
                     58,                 0.8096,                0.55085,                0.90698,                0.83528,                0.91379,                0.90081,                0.74602,                0.75649,                0.49433,                0.88834,             0.00047881,             0.00047881,             0.00047881
                     59,                0.78505,                0.54707,                0.90831,                0.86212,                0.90805,                 0.9008,                0.74989,                0.76309,                0.48574,                0.88622,              0.0004755,              0.0004755,              0.0004755
                     60,                0.77542,                0.52816,                0.88761,                 0.8683,                0.91407,                 0.9041,                0.75635,                0.75798,                0.48445,                0.88446,              0.0004722,              0.0004722,              0.0004722
                     61,                0.79214,                0.55721,                0.91661,                0.87395,                0.91447,                 0.9062,                0.76098,                0.75108,                0.48701,                0.88494,              0.0004689,              0.0004689,              0.0004689
                     62,                0.79516,                 0.5401,                0.90877,                0.86758,                0.91552,                0.91106,                0.76877,                0.75219,                0.48791,                0.88452,              0.0004656,              0.0004656,              0.0004656
                     63,                0.76402,                0.52948,                0.89953,                0.86758,                0.91552,                0.91106,                0.76877,                0.75219,                0.48791,                0.88452,              0.0004623,              0.0004623,              0.0004623
                     64,                0.76615,                0.51485,                0.89303,                0.86128,                0.89704,                0.91531,                0.76924,                0.76354,                 0.4966,                 0.8852,               0.000459,               0.000459,               0.000459
                     65,                0.80515,                 0.5508,                 0.9208,                0.83366,                0.90311,                0.91539,                0.76285,                0.76191,                0.50903,                0.88392,             0.00045569,             0.00045569,             0.00045569
                     66,                0.79752,                0.55123,                0.90615,                0.83943,                0.89884,                 0.9158,                0.76549,                0.74824,                0.50355,                 0.8835,             0.00045239,             0.00045239,             0.00045239
                     67,                 0.7877,                0.54338,                 0.9102,                0.87949,                0.88966,                0.91621,                0.76407,                 0.7392,                0.49077,                0.88412,             0.00044909,             0.00044909,             0.00044909
                     68,                0.78113,                0.53469,                0.89803,                0.87949,                0.88966,                0.91621,                0.76407,                 0.7392,                0.49077,                0.88412,             0.00044579,             0.00044579,             0.00044579
                     69,                0.76764,                0.50988,                0.89132,                0.88022,                 0.8986,                0.91602,                 0.7628,                0.74245,                0.47863,                0.88405,             0.00044249,             0.00044249,             0.00044249
                     70,                0.79194,                0.55223,                0.91817,                0.88809,                0.89703,                0.92227,                0.77419,                0.73941,                0.47854,                0.88252,             0.00043919,             0.00043919,             0.00043919
                     71,                0.79493,                0.52803,                0.89294,                 0.8783,                0.90404,                0.92512,                0.78746,                0.73856,                0.47589,                0.87978,             0.00043588,             0.00043588,             0.00043588
                     72,                0.78549,                0.52204,                0.90653,                 0.8829,                0.90442,                0.92813,                0.79113,                0.73112,                0.47153,                0.88159,             0.00043258,             0.00043258,             0.00043258
                     73,                0.82078,                0.53726,                0.92531,                 0.8829,                0.90442,                0.92813,                0.79113,                0.73112,                0.47153,                0.88159,             0.00042928,             0.00042928,             0.00042928
                     74,                0.77237,                0.52469,                0.89835,                0.87982,                 0.9162,                0.93008,                0.79524,                0.72312,                0.45728,                0.87827,             0.00042598,             0.00042598,             0.00042598
                     75,                 0.7813,                0.54367,                0.91896,                0.87044,                0.90994,                0.92198,                0.78951,                0.72316,                0.46343,                  0.875,             0.00042268,             0.00042268,             0.00042268
                     76,                0.78228,                0.53848,                0.89529,                0.88403,                0.89495,                0.92018,                0.78232,                0.72721,                0.46973,                0.87456,             0.00041938,             0.00041938,             0.00041938
                     77,                0.78837,                0.52716,                 0.8997,                0.87227,                0.91231,                0.92084,                 0.7766,                0.72237,                0.46508,                0.87731,             0.00041607,             0.00041607,             0.00041607
                     78,                0.76333,                0.52555,                0.89458,                0.87188,                0.91496,                 0.9223,                0.78178,                0.70725,                0.45679,                0.87444,             0.00041277,             0.00041277,             0.00041277
                     79,                0.76846,                0.52279,                0.90081,                0.87188,                0.91496,                 0.9223,                0.78178,                0.70725,                0.45679,                0.87444,             0.00040947,             0.00040947,             0.00040947
                     80,                0.74971,                 0.4977,                0.89079,                0.86003,                0.92705,                0.92266,                0.78925,                0.70876,                 0.4546,                0.87249,             0.00040617,             0.00040617,             0.00040617
                     81,                0.74368,                 0.5027,                0.88451,                0.85485,                 0.9215,                0.92392,                 0.7899,                0.72549,                0.45519,                0.87254,             0.00040287,             0.00040287,             0.00040287
                     82,                0.76756,                0.51615,                0.87214,                  0.883,                0.91412,                0.92156,                0.79036,                0.72244,                0.45392,                0.87258,             0.00039957,             0.00039957,             0.00039957
                     83,                 0.7763,                0.52879,                0.91476,                0.88785,                0.91832,                0.92163,                0.79796,                0.69894,                0.45248,                0.86853,             0.00039626,             0.00039626,             0.00039626
                     84,                0.76403,                0.50353,                0.90005,                0.88785,                0.91832,                0.92163,                0.79796,                0.69894,                0.45248,                0.86853,             0.00039296,             0.00039296,             0.00039296
                     85,                0.76787,                0.49756,                0.89498,                0.90045,                0.91555,                0.92503,                0.79358,                0.71302,                0.45903,                0.86855,             0.00038966,             0.00038966,             0.00038966
                     86,                 0.7607,                0.48169,                0.89135,                0.89533,                0.90623,                0.92447,                0.78834,                0.72342,                0.46336,                0.87073,             0.00038636,             0.00038636,             0.00038636
                     87,                0.75101,                0.50455,                0.89055,                0.90102,                0.91195,                0.92386,                0.78836,                0.72209,                0.45864,                0.87038,             0.00038306,             0.00038306,             0.00038306
                     88,                0.74772,                0.49042,                0.87961,                0.88703,                0.91132,                0.92166,                0.78986,                0.71126,                0.45059,                0.86959,             0.00037976,             0.00037976,             0.00037976
                     89,                 0.7401,                0.49031,                0.87415,                0.88703,                0.91132,                0.92166,                0.78986,                0.71126,                0.45059,                0.86959,             0.00037645,             0.00037645,             0.00037645
                     90,                0.79202,                0.49878,                0.90282,                0.86956,                0.91888,                0.92514,                0.79221,                0.69907,                0.44496,                0.86826,             0.00037315,             0.00037315,             0.00037315
                     91,                0.75354,                0.51098,                0.89489,                0.89868,                0.92017,                0.92879,                0.80351,                0.70322,                 0.4489,                0.86857,             0.00036985,             0.00036985,             0.00036985
                     92,                0.73298,                 0.4862,                0.89299,                0.89929,                0.92446,                 0.9327,                0.80825,                0.70247,                0.44755,                0.86927,             0.00036655,             0.00036655,             0.00036655
                     93,                0.74394,                0.50003,                0.89943,                0.90439,                0.92311,                0.93314,                0.81215,                0.69899,                0.44229,                 0.8695,             0.00036325,             0.00036325,             0.00036325
