File Name,Original Dimensions,Resized Dimensions,Original Size (KB),Processed Size (KB),Mean Pixel Intensity,Standard Deviation,Visual Quality
img1.png,2170x1720,960x960,892.11,93.97,243.91,34.33,Processed and Augmented
img10.png,3030x2070,960x960,634.86,46.17,246.62,33.15,Processed and Augmented
img11.png,2281x2280,960x960,753.15,52.30,246.90,27.96,Processed and Augmented
img12.png,1344x1439,960x960,459.85,119.68,245.17,36.27,Processed and Augmented
img13.png,1310x772,960x960,88.00,66.05,243.72,35.54,Processed and Augmented
img14.png,474x342,960x960,72.34,112.42,234.77,47.52,Processed and Augmented
img15.png,800x491,960x960,192.08,135.93,229.62,40.01,Processed and Augmented
img16.png,2801x1800,960x960,601.58,50.25,244.41,41.70,Processed and Augmented
img17.png,1257x818,960x960,417.54,99.13,234.40,53.06,Processed and Augmented
img18.png,1112x753,960x960,174.29,72.10,249.01,34.93,Processed and Augmented
img19.png,2490x1780,960x960,153.38,53.88,241.16,46.67,Processed and Augmented
img2.png,474x474,960x960,82.28,140.26,246.51,30.47,Processed and Augmented
img20.png,1705x649,960x960,76.17,92.88,245.80,42.76,Processed and Augmented
img21.png,708x537,960x960,220.65,121.56,228.90,61.72,Processed and Augmented
img22.png,1361x537,960x960,94.83,49.53,250.70,21.42,Processed and Augmented
img23.png,886x597,960x960,165.21,98.67,247.02,31.80,Processed and Augmented
img24.png,1342x352,960x960,227.50,138.01,244.49,36.17,Processed and Augmented
img25.png,1370x387,960x960,138.28,90.12,249.62,23.58,Processed and Augmented
img26.png,957x707,960x960,342.64,162.27,243.44,38.91,Processed and Augmented
img27.png,982x237,960x960,130.75,108.99,203.37,77.78,Processed and Augmented
img28.png,507x431,960x960,60.85,72.38,249.70,22.68,Processed and Augmented
img29.png,1272x417,960x960,245.41,131.99,244.38,36.81,Processed and Augmented
img3.png,2910x1800,960x960,209.53,65.32,239.78,50.24,Processed and Augmented
img30.png,592x362,960x960,61.09,99.14,238.48,46.12,Processed and Augmented
img31.png,655x622,960x960,133.20,100.91,241.97,47.79,Processed and Augmented
img32.png,760x298,960x960,135.90,132.64,208.26,81.29,Processed and Augmented
img33.png,372x448,960x960,121.40,126.47,210.05,80.98,Processed and Augmented
img34.png,906x178,960x960,97.34,96.37,206.52,78.20,Processed and Augmented
img35.png,1071x157,960x960,74.87,89.67,218.96,73.88,Processed and Augmented
img36.png,847x243,960x960,97.21,104.56,244.73,37.17,Processed and Augmented
img37.png,1152x362,960x960,203.82,137.56,243.69,38.48,Processed and Augmented
img38.png,762x197,960x960,101.90,151.12,241.45,40.42,Processed and Augmented
img39.png,756x150,960x960,90.49,177.42,237.65,44.45,Processed and Augmented
img4.png,2850x2400,960x960,251.66,59.22,226.21,37.38,Processed and Augmented
img40.png,960x183,960x960,53.26,102.92,243.32,40.79,Processed and Augmented
img41.png,1705x649,960x960,90.91,92.44,245.81,42.75,Processed and Augmented
img42.png,386x150,960x960,11.09,111.08,231.35,68.38,Processed and Augmented
img43.png,1024x388,960x960,82.94,73.23,247.03,38.41,Processed and Augmented
img44.png,1270x387,960x960,80.78,69.88,241.57,51.86,Processed and Augmented
img45.png,1081x451,960x960,111.41,68.07,245.95,33.41,Processed and Augmented
img46.png,688x407,960x960,89.16,113.13,249.22,24.41,Processed and Augmented
img47.png,850x392,960x960,28.10,33.67,247.95,31.84,Processed and Augmented
img48.png,800x295,960x960,54.43,112.55,243.04,47.33,Processed and Augmented
img49.png,1178x503,960x960,155.49,110.30,235.11,46.46,Processed and Augmented
img5.png,474x297,960x960,109.81,204.66,241.44,38.64,Processed and Augmented
img50.png,672x323,960x960,51.86,79.98,242.84,47.89,Processed and Augmented
img51.png,885x570,960x960,20.54,28.50,248.64,28.94,Processed and Augmented
img52.png,644x193,960x960,16.01,50.92,249.55,34.98,Processed and Augmented
img53.png,1453x462,960x960,109.15,69.33,231.98,50.99,Processed and Augmented
img54.png,531x147,960x960,39.82,165.66,231.02,70.75,Processed and Augmented
img6.png,474x347,960x960,138.26,177.98,231.54,51.82,Processed and Augmented
img7.png,8650x6084,960x960,1248.23,96.94,243.26,53.23,Processed and Augmented
img8.png,2860x2087,960x960,1171.21,98.79,235.76,51.22,Processed and Augmented
img9.png,975x975,960x960,67.03,43.03,246.99,33.66,Processed and Augmented
