File Name,Original Dimensions,Resized Dimensions,Original Size (KB),Processed Size (KB),Mean Pixel Intensity,Standard Deviation,Visual Quality
img1.png,2170x1720,960x960,892.11,93.97,243.64,32.39,Processed and Augmented
img11.png,2281x2280,960x960,753.15,52.30,247.47,23.50,Processed and Augmented
img12.png,1344x1439,960x960,459.85,119.68,244.78,33.74,Processed and Augmented
img14.png,474x342,960x960,72.34,112.42,236.85,40.85,Processed and Augmented
img2.png,474x474,960x960,82.28,140.26,246.28,29.07,Processed and Augmented
img20.png,1705x649,960x960,76.17,92.88,245.56,42.19,Processed and Augmented
img21.png,708x537,960x960,220.65,121.56,228.84,49.38,Processed and Augmented
img22.png,1361x537,960x960,94.83,49.53,250.69,21.45,Processed and Augmented
img23.png,886x597,960x960,165.21,98.67,247.04,31.80,Processed and Augmented
img26.png,957x707,960x960,342.64,162.27,243.45,38.92,Processed and Augmented
img27.png,982x237,960x960,130.75,108.99,200.53,77.94,Processed and Augmented
img28.png,507x431,960x960,60.85,72.38,249.70,22.71,Processed and Augmented
img3.png,2910x1800,960x960,209.53,65.32,239.54,44.86,Processed and Augmented
img30.png,592x362,960x960,61.09,99.14,239.11,46.18,Processed and Augmented
img33.png,372x448,960x960,121.40,126.47,207.69,79.97,Processed and Augmented
img37.png,1152x362,960x960,203.82,137.56,243.69,38.49,Processed and Augmented
img38.png,762x197,960x960,101.90,151.12,241.40,40.39,Processed and Augmented
img39.png,756x150,960x960,90.49,177.42,237.55,44.36,Processed and Augmented
img4.png,2850x2400,960x960,251.66,59.22,227.02,30.11,Processed and Augmented
img40.png,960x183,960x960,53.26,102.92,243.28,40.82,Processed and Augmented
img42.png,386x150,960x960,11.09,111.08,230.89,65.82,Processed and Augmented
img43.png,1024x388,960x960,82.94,73.23,246.97,37.61,Processed and Augmented
img45.png,1081x451,960x960,111.41,68.07,245.91,33.31,Processed and Augmented
img47.png,850x392,960x960,28.10,33.67,3.14,14.24,Processed and Augmented
img48.png,800x295,960x960,54.43,112.55,242.87,46.41,Processed and Augmented
img49.png,1178x503,960x960,155.49,110.30,235.28,44.07,Processed and Augmented
img5.png,474x297,960x960,109.81,204.66,241.11,38.74,Processed and Augmented
img50.png,672x323,960x960,51.86,79.98,242.69,47.05,Processed and Augmented
img51.png,885x570,960x960,20.54,28.50,249.55,22.88,Processed and Augmented
img52.png,644x193,960x960,16.01,50.92,249.03,32.51,Processed and Augmented
img53.png,1453x462,960x960,109.15,69.33,231.34,46.10,Processed and Augmented
img54.png,531x147,960x960,39.82,165.66,230.90,64.74,Processed and Augmented
img7.png,8650x6084,960x960,1248.23,96.94,243.15,48.23,Processed and Augmented
img8.png,2860x2087,960x960,1171.21,98.79,235.35,47.22,Processed and Augmented
