                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4219,                  5.215,                 1.3109,                0.34912,                0.02064,                0.01348,                 0.0113,                 1.2803,                 4.6451,                 1.3306,               2.31e-05,               2.31e-05,               2.31e-05
                      2,                 1.2327,                 3.8306,                 1.1601,                0.28291,                0.05742,                0.03807,                0.03189,                  1.261,                 3.8373,                 1.2906,             4.9555e-05,             4.9555e-05,             4.9555e-05
                      3,                 1.2506,                 2.7766,                 1.1776,                 0.6394,                0.04787,                0.04821,                0.03984,                 1.1717,                 4.1555,                 1.2063,             7.5475e-05,             7.5475e-05,             7.5475e-05
                      4,                 1.2401,                   2.21,                 1.1441,                 0.7267,                0.07981,                0.07576,                0.06131,                 1.1274,                  4.079,                   1.15,             0.00010086,             0.00010086,             0.00010086
                      5,                 1.2126,                 2.1755,                 1.1652,                0.32505,                0.16777,                0.09707,                0.07242,                 1.1074,                 3.2096,                 1.1194,             0.00012572,             0.00012572,             0.00012572
