                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90177,                  1.081,                0.92926,                0.61847,                0.52654,                0.58346,                0.46922,                0.86995,                0.95345,                0.94225,             0.00025541,             0.00025541,             0.00025541
                     36,                0.95294,                 1.0752,                0.95818,                0.64913,                0.60038,                0.59511,                0.47863,                0.86809,                0.92151,                0.94259,              0.0002516,              0.0002516,              0.0002516
                     37,                0.89978,                 1.0222,                0.92567,                0.64705,                 0.6189,                0.60546,                0.48537,                0.85901,                0.88724,                0.93968,             0.00024779,             0.00024779,             0.00024779
                     38,                0.89992,                0.94963,                0.94751,                0.64705,                 0.6189,                0.60546,                0.48537,                0.85901,                0.88724,                0.93968,             0.00024397,             0.00024397,             0.00024397
                     39,                0.92052,                 1.0393,                  0.939,                0.69875,                0.59224,                0.59682,                0.48012,                0.84645,                0.85747,                0.93606,             0.00024016,             0.00024016,             0.00024016
                     40,                0.91736,                0.98504,                0.95279,                0.77966,                0.56352,                0.62692,                0.50041,                0.84723,                0.84355,                0.93566,             0.00023635,             0.00023635,             0.00023635
                     41,                0.92571,                  0.969,                0.97475,                0.76547,                0.57602,                0.64694,                  0.515,                0.84101,                0.83094,                0.93369,             0.00023254,             0.00023254,             0.00023254
                     42,                0.90059,                0.97492,                0.93653,                0.78746,                0.59479,                0.66021,                0.52509,                0.83959,                0.84115,                0.93386,             0.00022873,             0.00022873,             0.00022873
                     43,                0.91053,                0.92115,                0.94933,                0.76642,                0.58772,                0.67042,                0.53228,                0.83622,                0.83059,                 0.9337,             0.00022492,             0.00022492,             0.00022492
                     44,                0.89837,                0.94889,                0.94038,                0.80715,                0.59289,                0.67818,                0.53599,                 0.8242,                0.78996,                0.93124,             0.00022111,             0.00022111,             0.00022111
                     45,                0.89419,                 1.0182,                0.95921,                 0.8164,                 0.6084,                0.69294,                 0.5456,                0.81686,                0.76539,                0.92644,             0.00021729,             0.00021729,             0.00021729
                     46,                0.90889,                0.90462,                0.94986,                 0.8164,                 0.6084,                0.69294,                 0.5456,                0.81686,                0.76539,                0.92644,             0.00021348,             0.00021348,             0.00021348
                     47,                0.88986,                0.91685,                0.94228,                0.81803,                0.58972,                0.68992,                0.54468,                0.80714,                0.75215,                0.92204,             0.00020967,             0.00020967,             0.00020967
                     48,                0.87936,                 1.0403,                0.92593,                0.83303,                0.57382,                0.68144,                0.54233,                0.80688,                0.74441,                0.92134,             0.00020586,             0.00020586,             0.00020586
                     49,                  0.854,                0.82563,                0.91127,                0.74816,                 0.6238,                0.68524,                0.54415,                 0.8107,                0.73545,                 0.9221,             0.00020205,             0.00020205,             0.00020205
                     50,                0.87656,                0.86737,                0.93328,                0.75361,                0.64513,                0.70414,                0.55565,                0.82418,                0.72744,                0.92378,             0.00019824,             0.00019824,             0.00019824
