                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0001,                0.92034,                 0.9623,                0.78215,                0.51535,                0.58047,                0.45644,                0.96947,                0.80375,                0.96557,             0.00025541,             0.00025541,             0.00025541
                     36,                0.98053,                0.88839,                  0.955,                0.70358,                 0.5425,                0.59308,                0.46357,                0.97377,                0.79067,                0.96527,              0.0002516,              0.0002516,              0.0002516
                     37,                 0.9758,                0.95448,                0.94882,                0.72142,                0.54474,                0.59782,                0.46879,                0.96748,                0.76805,                0.96069,             0.00024779,             0.00024779,             0.00024779
                     38,                0.99377,                0.88441,                 0.9689,                0.72142,                0.54474,                0.59782,                0.46879,                0.96748,                0.76805,                0.96069,             0.00024397,             0.00024397,             0.00024397
                     39,                0.97753,                0.85937,                0.94677,                0.78912,                0.55679,                 0.6056,                  0.476,                0.95318,                0.76454,                 0.9531,             0.00024016,             0.00024016,             0.00024016
                     40,                0.96814,                0.84868,                0.95139,                0.75168,                0.58036,                 0.6213,                0.48706,                0.95452,                0.75778,                0.95045,             0.00023635,             0.00023635,             0.00023635
                     41,                0.98182,                0.84514,                0.96937,                0.75783,                0.59028,                  0.629,                0.49152,                0.94719,                0.73716,                0.94782,             0.00023254,             0.00023254,             0.00023254
                     42,                0.97089,                0.87353,                0.94455,                0.80686,                0.60348,                 0.6463,                0.50324,                0.94161,                0.73573,                0.94556,             0.00022873,             0.00022873,             0.00022873
                     43,                0.96509,                0.81368,                0.95567,                 0.8018,                0.61238,                0.65826,                0.51744,                0.92899,                 0.7354,                0.94209,             0.00022492,             0.00022492,             0.00022492
                     44,                0.94173,                0.82995,                0.94251,                0.81105,                0.61481,                0.66532,                0.52259,                0.91915,                0.71203,                0.94078,             0.00022111,             0.00022111,             0.00022111
                     45,                0.97638,                0.83157,                0.96848,                0.81683,                0.61487,                0.68009,                0.53196,                0.91234,                0.69152,                 0.9382,             0.00021729,             0.00021729,             0.00021729
                     46,                0.94625,                0.80293,                0.95198,                0.81683,                0.61487,                0.68009,                0.53196,                0.91234,                0.69152,                 0.9382,             0.00021348,             0.00021348,             0.00021348
                     47,                0.95109,                0.85206,                0.95397,                0.68668,                0.64392,                 0.6887,                0.53971,                0.91043,                 0.6856,                0.93736,             0.00020967,             0.00020967,             0.00020967
                     48,                0.96373,                0.82797,                0.96102,                0.74055,                 0.6459,                0.69255,                0.54125,                0.92034,                0.67968,                0.93856,             0.00020586,             0.00020586,             0.00020586
                     49,                0.91258,                0.79753,                0.92887,                0.81548,                 0.6568,                0.69688,                0.54507,                0.92905,                0.67997,                0.94036,             0.00020205,             0.00020205,             0.00020205
                     50,                0.96816,                0.80809,                0.95202,                0.80718,                0.63868,                0.69174,                0.54699,                0.92024,                0.68917,                0.93942,             0.00019824,             0.00019824,             0.00019824
                     51,                0.95687,                 0.7643,                0.94309,                0.82405,                0.63429,                 0.6957,                0.54681,                0.90939,                0.68656,                0.93627,             0.00019442,             0.00019442,             0.00019442
                     52,                 0.9259,                0.75236,                0.95776,                 0.7967,                0.65691,                0.70759,                 0.5556,                0.90445,                0.66938,                0.93483,             0.00019061,             0.00019061,             0.00019061
